celsius,fahrenheit_display,actual_range_min,actual_range_max
-20,-4.0,-4,-4
-19,-2.200000000000003,-3,-2
-18,-0.3999999999999986,-1,0
-17,1.3999999999999986,1,2
-16,3.1999999999999993,3,4
-15,5.0,5,5
-14,6.800000000000001,6,7
-13,8.600000000000001,8,9
-12,10.399999999999999,10,11
-11,12.2,12,13
-10,14.0,14,14
-9,15.8,15,16
-8,17.6,17,18
-7,19.4,19,20
-6,21.2,21,22
-5,23.0,23,23
-4,24.8,24,25
-3,26.6,26,27
-2,28.4,28,29
-1,30.2,30,31
0,32.0,32,32
1,33.8,33,34
2,35.6,35,36
3,37.4,37,38
4,39.2,39,40
5,41.0,41,41
6,42.8,42,43
7,44.6,44,45
8,46.4,46,47
9,48.2,48,49
10,50.0,50,50
11,51.8,51,52
12,53.6,53,54
13,55.4,55,56
14,57.2,57,58
15,59.0,59,59
16,60.8,60,61
17,62.6,62,63
18,64.4,64,65
19,66.2,66,67
20,68.0,68,68
21,69.8,69,70
22,71.6,71,72
23,73.4,73,74
24,75.2,75,76
25,77.0,77,77
26,78.8,78,79
27,80.6,80,81
28,82.4,82,83
29,84.2,84,85
30,86.0,86,86
31,87.8,87,88
32,89.6,89,90
33,91.4,91,92
34,93.2,93,94
35,95.0,95,95
36,96.8,96,97
37,98.6,98,99
38,100.4,100,101
39,102.2,102,103
40,104.0,104,104
41,105.8,105,106
42,107.6,107,108
43,109.4,109,110
44,111.2,111,112
45,113.0,113,113
46,114.8,114,115
47,116.6,116,117
48,118.4,118,119
49,120.2,120,121
50,122.0,122,122
